Genus,A&B
Agaricostilbum,B
Chionosphaera,B
Colacogloea,B
Curvibasidium,B
Kondoa,B
Kurtzmanomyces,B
Sterigmatomyces,B
Bensingtonia,B
Bannoa,B
Cyrenella,B
Cystobasidium,B
Erythrobasidium,B
Naohidea,B
Occultifur,B
Sakaguchia,B
Sporobolomyces,B
Rhodotorula,B
Acaromyces,B
Meira,B
Sympodiomycopsis,B
Tilletiaria,B
Tilletiopsis,B
Kriegeria,B
Rhodosporidium,B
Leucosporidiella,B
Leucosporidium,B
Mastigobasidium,B
Sporidiobolus,B
Mixia,B
Ascoidea,A
Cephaloascus,A
Wickerhamia,A
Yamadazyma,A
Debaryomyces,A
Kurtzmaniella,A
Lodderomyces,A
Meyerozyma,A
Millerozyma,A
Priceomyces,A
Scheffersomyces,A
Schwanniomyces,A
Spathaspora,A
Dipodascus,A
Galactomyces,A
Geotrichum,A
Dipodascopsis,A
Lipomyces,A
Myxozyma,A
Aciculoconidium,A
Clavispora,A
Hyphopichia,A
Kodamaea,A
Metschnikowia,A
Komagataella,A
Phaffomyces,A
Brettanomyces,A
Dekkera,A
Kregervanrija,A
Pichia,A
Saturnispora,A
Cyniclomyces,A
Eremothecium,A
Kazachstania,A
Kluyveromyces,A
Lachancea,A
Nakaseomyces,A
Naumovozyma,A
Saccharomyces,A
Tetrapisispora,A
Torulaspora,A
Vanderwaltozyma,A
Zygosaccharomyces,A
Zygotorulaspora,A
Hanseniaspora,A
Kloeckera,A
Saccharomycodes,A
Saccharomycopsis,A
Blastobotrys,A
Sugiyamaella,A
Trichomonascus,A
Wickerhamiella,A
Zygoascus,A
Barnettozyma,A
Lindnera,A
Starmera,A
Wickerhamomyces,A
Ambrosiozyma,A
Ascobotryozyma,A
Babjeviella,A
Botryozyma,A
Candida,A
Citeromyces,A
Kuraishia,A
Magnusiomyces,A
Nadsonia,A
Nakazawaea,A
Ogataea,A
Pachysolen,A
Peterozyma,A
Saprochaete,A
Schizoblastosporion,A
Sporopachydermia,A
Starmerella,A
Trigonopsis,A
Yarrowia,A
Schizosaccharomyces,A
Protomyces,A
Saitoella,A
Lalaria,A
Taphrina,A
Auriculibuller,B
Bullera,B
Bulleribasidium,B
Bulleromyces,B
Cryptococcus,B
Cryptotrichosporon,B
Cuniculitrema,B
Cystofilobasidium,B
Dioszegia,B
Fellomyces,B
Fibulobasidium,B
Filobasidiella,B
Filobasidium,B
Guehomyces,B
Holtermannia,B
Itersonilia,B
Kockovaella,B
Kwoniella,B
Mrakia,B
Mrakiella,B
Papiliotrema,B
Sirobasidium,B
Tausonia,B
Tremella,B
Trichosporon,B
Trimorphomyces,B
Udeniomyces,B
Xanthophyllomyces,B
Pseudozyma,B
Aureobasidium,NY
Moniliella,B
Prototheca,NY
Reniforma,B
Ustilago,B
